URL,Title,Location,Salary,Summary
https://uk.indeed.com/rc/clk?jk=1b861f002b9cda37&fccid=9013fe46d330e874&vjs=3,Engineer (Golang) - Customer & Data,London EC1N,,"As an Engineer (Golang), you’ll be part of one of our Engineering teams, creating great products by interpreting and following best practice architectural and…"
https://uk.indeed.com/rc/clk?jk=6238d35e349ea4dd&fccid=b15b0bdabdeca9e3&vjs=3,Full Stack (Golang) Engineer,Stoke-on-Trent,"£35,000 - £55,000 a year","A degree in computer science, or equivalent practical experience.4+ years of experience in software design and web development."
https://uk.indeed.com/rc/clk?jk=f74079eceb936aa4&fccid=ea1f64b071408cc5&vjs=3,"Front End Developer (React, Golang, WCAG Guidelines)",England,£500 - £550 a day,"£500 - £550 per day + INSIDE IR35 (rates are flexible).Front End Developer (React, Golang and WCAG Guidelines) - Public Sector."
https://uk.indeed.com/rc/clk?jk=ff388e82002a42a0&fccid=7c810ca419168ca0&vjs=3,Software Engineer,London SW7 1JP,,"As a Software Engineer, you will be joining Hive’s platform team and will contribute to building new as well as improving existing Hive services and solutions…"
https://uk.indeed.com/rc/clk?jk=f7343061548b8aea&fccid=c7414b794cb89c1c&vjs=3,Golang Engineer,London,£550 - £625 a day,"If you have worked with Golang extensively or have a solid understanding of microservices and distributed systems with a desire to work with Golang, then this…"
https://uk.indeed.com/rc/clk?jk=d9dbfa5bad496f04&fccid=8c6e29466828cf34&vjs=3,Senior Backend Engineer,London,£550 - £600 a day,Senior Backend Developer - Information Security.Up to £600 per day dependant on experience - Inside IR35.Building microservice based automation pipelines to…
https://uk.indeed.com/rc/clk?jk=634005a7d0536f8b&fccid=f057e04c37cca134&vjs=3,Senior Golang Engineer,Burgess Hill,,At least 6 months of hands on experience with golang preferred.You will be challenged with identifying innovative ideas and proof of concept to deliver against…
https://uk.indeed.com/rc/clk?jk=6ddf22e4a54df132&fccid=578621a8811c87eb&vjs=3,Software Engineer - Go (Golang),London WC2N 5DU,,"Juni is revolutionizing banking for digital entrepreneurs.Our customers can focus on their passion and customers, while Juni gives them full insight into their…"
https://uk.indeed.com/rc/clk?jk=cf19eeb567c88cab&fccid=18d0aa239188acab&vjs=3,Golang Developer,London,,They are going for their series B funding this summer and plan to double their head count in the next 12 months.Experience of designing APIs with GraphQL.
https://uk.indeed.com/rc/clk?jk=52e1fdc134ad032a&fccid=d72eb0548d91249c&vjs=3,Golang Engineer (Contract) Inside IR35,London,£500 - £600 a day,"Experience of Cloud technologies (AWS, GCP).Experience of containers (Docker, Kubernetes)."
https://uk.indeed.com/rc/clk?jk=bfc35bb0e244684c&fccid=587ca793c0027a4f&vjs=3,Software Engineer - Golang!,Manchester,,If you have experience developing applications using Go programming language (or willingness to learn) along with experience with either the three major cloud…
https://uk.indeed.com/rc/clk?jk=869032470a1ac727&fccid=64e4cdd7435d8c42&vjs=3,Sr. Engineer - Golang (Remote),United Kingdom,,The content team focusses on continuous extraction and near-real-time analysis of security vulnerability information & knowledge base available in public domain…
https://uk.indeed.com/rc/clk?jk=36df1b1893569c38&fccid=1527bc08757906b8&vjs=3,Cross-Train Golang Software Engineer,London,"£40,000 - £80,000 a year","This exciting and ambitious start-up is looking for experienced Software Engineers who have experience using technologies such as; C/C++, C#, Java, Python,…"
https://uk.indeed.com/rc/clk?jk=e0c56a82515cb933&fccid=9d96e96c04ab56f9&vjs=3,Golang Developer (Fully Remote),London,"£50,000 - £60,000 a year",Golang Developer / Senior Golang Developer / APIs / Data / AWS / Web / Architecture / Fully Remote / UK / EU.£50 – £60K (Depending on Experience).
https://uk.indeed.com/rc/clk?jk=858b05e63e3c107a&fccid=1527bc08757906b8&vjs=3,Senior Golang Developer,London,"£65,000 - £100,000 a year","We are looking for talented people with a focus on delivering solutions to our customers, a genuine passion for problem solving, coding and who enjoy being…"
https://uk.indeed.com/rc/clk?jk=d692dfc078edb27e&fccid=1976b8742794eede&vjs=3,Cross-Train Golang Software Engineer,London,"£40,000 - £80,000 a year","This exciting and ambitious start-up is looking for experienced Software Engineers who have experience using technologies such as; C/C++, C#, Java, Python,…"
https://uk.indeed.com/rc/clk?jk=215821226e115b46&fccid=ca6e2432035dcd64&vjs=3,Software Technical Lead (Golang /Typescript /C#),Greater Manchester,"£50,000 - £75,000 a year",£50k - 75k per year.They are seeking a true tech advocate with a wealth of experience in programming languages to drive best practice and champion their…
https://uk.indeed.com/rc/clk?jk=9f9620a02e1c227e&fccid=9013fe46d330e874&vjs=3,Test Engineer (Automation) - Customer and Data,London EC1N,,"As a Test Engineer, you’ll be part of one of our Engineering teams, creating great products by interpreting and following best practice architectural and…"
https://uk.indeed.com/rc/clk?jk=f9ce96951533b99d&fccid=71d9b918578c004a&vjs=3,Platform Engineer (Contract),London,,We are now looking for a consultant to come in on a contract basis and share their knowledge and expertise to assist Attest in a project that will level up our…
https://uk.indeed.com/rc/clk?jk=252210dd2c06678a&fccid=9013fe46d330e874&vjs=3,Associate Engineer - Java - Colleague & Operations,London EC1N,,"Every week we move millions of products to our customers at record speeds.Brilliant customer experiences at this kind of pace, require fresh and appealing…"
https://uk.indeed.com/rc/clk?jk=abd27b4c1847a90a&fccid=8bda5ae2f5d68606&vjs=3,GoLang Engineer,London,,And rewards you for the impact you make on customer's lives.In-depth knowledge of Golang.Knowledge of both Continuous Integration and Continuous Deployment …
https://uk.indeed.com/rc/clk?jk=7e1f25c25bc0e6db&fccid=22802a3c9cf9578d&vjs=3,Software Engineer General Interest,London,,Our engineers regularly work with peers in field engineering and experience the full lifecycle of the systems they build.Language design and type systems.
https://uk.indeed.com/rc/clk?jk=714e7bab9ef36891&fccid=51cdf18e3e4b5a5a&vjs=3,Lead Golang Developer – Fully-Remote,United Kingdom,,"You will join a Development team of 9 people as one of the Senior figures, responsible for designing, testing, deploying and maintaining backend infrastructure."
https://uk.indeed.com/rc/clk?jk=247f4db5ae7e1b0d&fccid=f17180ffbe436a3c&vjs=3,Data Scientist - II,London W4 5YB,,"We are looking for top talent, whose deep quantitative expertise and problem-solving skills are matched only by their passion for Maths and Data Design."
https://uk.indeed.com/rc/clk?jk=248ff08347d91e8b&fccid=2c97f9555235f285&vjs=3,CONTRACT NETWORK SECURITY AUTOMATION ENGINEER,Bristol,£475 a week,Contract opportunity for a contract Network Security Automation Engineer.Day rate £350 – £475 per day (outside IR35).Fully Remote initial 6 month contract.
https://uk.indeed.com/rc/clk?jk=f3a46b2917570fec&fccid=9013fe46d330e874&vjs=3,Engineer - Python - Colleague & Operations,London EC1N,,"Brilliant customer experiences at this kind of pace, require fresh and appealing products to be available whenever and however our customers shop with us."
https://uk.indeed.com/rc/clk?jk=cd00fd73745713d1&fccid=5fe4d7014c8c8247&vjs=3,Junior DevOps Engineer,London,,"You will establish configuration management, automate our infrastructure, implement continuous integration, and ensure that members of the technology team are…"
https://uk.indeed.com/rc/clk?jk=248ff08347d91e8b&fccid=2c97f9555235f285&vjs=3,CONTRACT NETWORK SECURITY AUTOMATION ENGINEER,Bristol,£475 a week,Contract opportunity for a contract Network Security Automation Engineer.Day rate £350 – £475 per day (outside IR35).Fully Remote initial 6 month contract.
https://uk.indeed.com/rc/clk?jk=45fe349e1db9718e&fccid=eef0ccdb6f0c00eb&vjs=3,.NET Developers,London,£600 - £650 a day,"£600 - £650 per day..NET Developers - Contract - London/Remote - £600-650 per day.(.NET CORE, C#, SQL, Azure, CI/CD Pipelines, Microservices)."
https://uk.indeed.com/rc/clk?jk=1d26495122224884&fccid=8f35589a37e69470&vjs=3,Golang Developer - Decentralised Trading - Remote - Blockcha...,Greater London,"£90,000 - £150,000 a year",This company have developed a complex platform for creating and trading financial products on a completely de-centralised open-source network.
https://uk.indeed.com/rc/clk?jk=3002955eda3b5ca7&fccid=d1c7fa52f243b208&vjs=3,GO Developer / GoLang Developer (cross train) - Remote,Birmingham,"£40,000 - £65,000 a year","£40000 - £65000 per annum + Excellent benefits package.100% Remote position currently, plan on occasional office work when safe to return, based on individuals…"
https://uk.indeed.com/rc/clk?jk=84fa30a129396db4&fccid=04f36097f3ddf22e&vjs=3,Senior Golang Developer,London,"£70,000 - £75,000 a year","On offer is a salary package of up to £75,000 (DOE) + 10% annual bonus."
https://uk.indeed.com/rc/clk?jk=f9ce96951533b99d&fccid=71d9b918578c004a&vjs=3,Platform Engineer (Contract),London,,We are now looking for a consultant to come in on a contract basis and share their knowledge and expertise to assist Attest in a project that will level up our…
https://uk.indeed.com/rc/clk?jk=247f4db5ae7e1b0d&fccid=f17180ffbe436a3c&vjs=3,Data Scientist - II,London W4 5YB,,"We are looking for top talent, whose deep quantitative expertise and problem-solving skills are matched only by their passion for Maths and Data Design."
https://uk.indeed.com/rc/clk?jk=252210dd2c06678a&fccid=9013fe46d330e874&vjs=3,Associate Engineer - Java - Colleague & Operations,London EC1N,,"Every week we move millions of products to our customers at record speeds.Brilliant customer experiences at this kind of pace, require fresh and appealing…"
https://uk.indeed.com/rc/clk?jk=60a0937541cb43e6&fccid=566ba6a140f0638d&vjs=3,Server Programmer,London W1F 7LP,,"Experience with golang, C# or C++.Working with Artists, Designers and Tech, you will constantly be using your experience and passion for developing compelling…"
https://uk.indeed.com/rc/clk?jk=9d6b1a72e6b4733c&fccid=58c732f14833248a&vjs=3,"Associate, Application Engineering",London,,"We build tools that manage trillion dollars in assets, support millions of financial instruments, and process financial transactions for thousands of users…"
https://uk.indeed.com/rc/clk?jk=292d7f6dc6c4665f&fccid=06206ab329e0eb22&vjs=3,Manager Operations (DevOps),London,,The technology transformation that is taking place across Elsevier is being delivered by newly formed agile teams across the globe.
https://uk.indeed.com/rc/clk?jk=d567905bfb1497c8&fccid=c7414b794cb89c1c&vjs=3,"Senior Golang Engineer (Go), Crypto Company 100% Remote",London,"£60,000 - £90,000 a year",You'll need a strong engineering mindset and deep understanding of object-orientated programming.It would also be beneficial to understand design and…
https://uk.indeed.com/rc/clk?jk=3e32bf151056b988&fccid=5734e3d63c31a5ac&vjs=3,Platform Engineer,Cardiff,,"Competitive salary, benefits and bonus.This team is part of our IT department, our goal is to create an engaging experience for internal colleagues, clients…"
https://uk.indeed.com/rc/clk?jk=5ec66a3d9d5c9b0f&fccid=5fe4d7014c8c8247&vjs=3,Junior Linux SysAdmin,London,,You have the ability to learn and take in as much information as possible whether that is Linux System Administration or various policies and workings of the…
https://uk.indeed.com/rc/clk?jk=c8459ef3794b90d1&fccid=e884fac1a9f6027b&vjs=3,Back-End Engineer,Bristol,"£35,000 - £45,000 a year",Any back-end language e.g. C#/Java/PHP/Ruby.Exciting ethical Cyber Security scale-up.You’ll be working on an ingenious product that can assess online…
https://uk.indeed.com/rc/clk?jk=694000bea2d0afe1&fccid=e1edcc3b58fb314d&vjs=3,vRA / vRO Developer - Remote,London,£500 - £700 a day,A deep technical understanding of Virtualisation and Cloud?Myles Roberts are currently looking to bring onboard a seasoned vRealise Developer to work for a…
https://uk.indeed.com/rc/clk?jk=15ee3cc0bfacf894&fccid=bd55eebfbe7a440d&vjs=3,Senior Back-end Developer (Remote Work),Login,,"Build a high volume, high performance server with any cutting-edge technology.Collaborate with the team to ensure all requirements are met and deliver high…"
https://uk.indeed.com/rc/clk?jk=3002955eda3b5ca7&fccid=d1c7fa52f243b208&vjs=3,GO Developer / GoLang Developer (cross train) - Remote,Birmingham,"£40,000 - £65,000 a year","£40000 - £65000 per annum + Excellent benefits package.100% Remote position currently, plan on occasional office work when safe to return, based on individuals…"
https://uk.indeed.com/rc/clk?jk=6238d35e349ea4dd&fccid=b15b0bdabdeca9e3&vjs=3,Full Stack (Golang) Engineer,Stoke-on-Trent,"£35,000 - £55,000 a year","A degree in computer science, or equivalent practical experience.4+ years of experience in software design and web development."
https://uk.indeed.com/rc/clk?jk=a28c08532338638f&fccid=8c6e29466828cf34&vjs=3,Ruby Golang Developer,London,£550 - £650 a day,"6 Month+ Contract £550-650 per day Inside IR35.At least 5 years+ experience with Ruby/Rails.Golang, TypeScript OR Scala knowledge would be a great bonus."
https://uk.indeed.com/rc/clk?jk=a083c378a63d5245&fccid=551060b2bc2475f2&vjs=3,GoLang Developer,Bracknell,,"Be part of a team that owns all phases of the product development life cycle, from conception to delivery to customers, including support/operation if required."
https://uk.indeed.com/rc/clk?jk=251a465b68a9062c&fccid=f057e04c37cca134&vjs=3,Golang Engineer I,Burgess Hill,,"At least 6 months of hands-on experience with golang preferred.Be part of an enthusiastic, high performing technology team developing solutions to drive…"
https://uk.indeed.com/rc/clk?jk=963c1a083cb16994&fccid=54a2e021090a2250&vjs=3,Golang Developer,London,"£95,000 - £100,000 a year",Reporting to the technical lead they are now looking for a strong Golang Developer to get on board and be responsible for the development of the micro service…
https://uk.indeed.com/rc/clk?jk=bfc35bb0e244684c&fccid=587ca793c0027a4f&vjs=3,Software Engineer - Golang!,Manchester,,If you have experience developing applications using Go programming language (or willingness to learn) along with experience with either the three major cloud…
https://uk.indeed.com/rc/clk?jk=edf34b5094e5ca2a&fccid=447163ca34a4b3d8&vjs=3,QA Engineer,London,"£75,000 a year",The right fit would be someone who has come from a Software Development background and has a strong understanding of JAVA.
https://uk.indeed.com/rc/clk?jk=0a4b6249188184ba&fccid=04f36097f3ddf22e&vjs=3,Golang Developer,London,"£70,000 - £85,000 a year","Collaborate with other Developers, UXers, Data Engineers, and the Product team to deliver software that'll help the company scale."
https://uk.indeed.com/rc/clk?jk=ff388e82002a42a0&fccid=7c810ca419168ca0&vjs=3,Software Engineer,London SW7 1JP,,"As a Software Engineer, you will be joining Hive’s platform team and will contribute to building new as well as improving existing Hive services and solutions…"
https://uk.indeed.com/rc/clk?jk=215821226e115b46&fccid=ca6e2432035dcd64&vjs=3,Software Technical Lead (Golang /Typescript /C#),Greater Manchester,"£50,000 - £75,000 a year",£50k - 75k per year.They are seeking a true tech advocate with a wealth of experience in programming languages to drive best practice and champion their…
https://uk.indeed.com/rc/clk?jk=869032470a1ac727&fccid=64e4cdd7435d8c42&vjs=3,Sr. Engineer - Golang (Remote),United Kingdom,,The content team focusses on continuous extraction and near-real-time analysis of security vulnerability information & knowledge base available in public domain…
https://uk.indeed.com/rc/clk?jk=1a74daa03e1f7527&fccid=ea1f64b071408cc5&vjs=3,Backend Go / Golang Developer (RESTful APIs and Web Services...,London,£500 - £600 a day,£500 - £600 per day + (Inside IR35).Backend Go/Golang Developer (RESTful APIs and Web Services) - Public Sector.Initial 6 Month Contract **Inside IR35**.
https://uk.indeed.com/rc/clk?jk=1398caa2df3be776&fccid=a3f737e511d9fc8c&vjs=3,Operations Support Consultant,Basingstoke,,VisaNet Consultant is responsible for the support of Visa’s Real time payment application - VisaNet or VIP Authorisation system in a multi-datacenter and multi…
https://uk.indeed.com/rc/clk?jk=36df1b1893569c38&fccid=1527bc08757906b8&vjs=3,Cross-Train Golang Software Engineer,London,"£40,000 - £80,000 a year","This exciting and ambitious start-up is looking for experienced Software Engineers who have experience using technologies such as; C/C++, C#, Java, Python,…"
https://uk.indeed.com/rc/clk?jk=d692dfc078edb27e&fccid=1976b8742794eede&vjs=3,Cross-Train Golang Software Engineer,London,"£40,000 - £80,000 a year","This exciting and ambitious start-up is looking for experienced Software Engineers who have experience using technologies such as; C/C++, C#, Java, Python,…"
https://uk.indeed.com/rc/clk?jk=e0c56a82515cb933&fccid=9d96e96c04ab56f9&vjs=3,Golang Developer (Fully Remote),London,"£50,000 - £60,000 a year",Golang Developer / Senior Golang Developer / APIs / Data / AWS / Web / Architecture / Fully Remote / UK / EU.£50 – £60K (Depending on Experience).
https://uk.indeed.com/rc/clk?jk=f74079eceb936aa4&fccid=ea1f64b071408cc5&vjs=3,"Front End Developer (React, Golang, WCAG Guidelines)",England,£500 - £550 a day,"£500 - £550 per day + INSIDE IR35 (rates are flexible).Front End Developer (React, Golang and WCAG Guidelines) - Public Sector."
https://uk.indeed.com/rc/clk?jk=561608d628234389&fccid=1a1be91d486c5b3a&vjs=3,Golang Developer,London,£500 - £700 a day,"A Golang Developer is required to join a greenfield project for a company based in London, on an initial 6-12 month contract."
https://uk.indeed.com/rc/clk?jk=858b05e63e3c107a&fccid=1527bc08757906b8&vjs=3,Senior Golang Developer,London,"£65,000 - £100,000 a year","We are looking for talented people with a focus on delivering solutions to our customers, a genuine passion for problem solving, coding and who enjoy being…"
https://uk.indeed.com/rc/clk?jk=ff29a1f4f2d5ae9b&fccid=51cdf18e3e4b5a5a&vjs=3,Node.js Developer – Learn Golang! – Remote,Home Based,,You will also have a passion for new technology and won’t be afraid to think outside the box when it comes to building software.
